STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Zone de référence,FREQ,Fréquence d'observation,MEASURE,Mesure,ANALYTICAL_CATEGORIES,Analytique Catégories,UNIT_MEASURE,Unité de mesure,BASE_REF_AREA,Zone de référence de base,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,OBS_STATUS,Statut d'observation,UNIT_MULT,Multiplicateur d'unité
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,KOR,Corée,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,1087,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,JPN,Japon,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,115,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,ITA,Italie,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,0.794,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,ISR,Israël,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,4.57,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,IRL,Irlande,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,1.14,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,ISL,Islande,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,202,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,HUN,Hongrie,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,210,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,GRC,Grèce,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,0.669,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,DEU,Allemagne,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,0.88,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,FRA,France,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,0.88,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,FIN,Finlande,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,1.03,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,EST,Estonie,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,0.783,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,SRB,Serbie,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,56.1,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,ROU,Roumanie,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,2.18,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,MKD,Macédoine du Nord,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,24.2,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,MNE,Monténégro,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,0.458,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,MLT,Malte,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,0.744,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,CYP,Chypre,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,0.767,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,HRV,Croatie,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,0.574,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,BGR,Bulgarie,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,0.881,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,BIH,Bosnie-Herzégovine,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,0.867,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,ALB,Albanie,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,51.1,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,OECD,OCDE,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,1,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,EU27_2020,Union européenne (27 pays à partir du 01/02/2020),A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,0.807,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,EA20,Zone euro (20 pays),A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,0.847,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,USA,États-Unis,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,1.27,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,GBR,Royaume-Uni,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,0.863,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,TUR,Türkiye,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,8.02,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,CHE,Suisse,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,1.44,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,SWE,Suède,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,11.3,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,ESP,Espagne,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,0.735,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,SVN,Slovénie,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,0.725,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,SVK,République slovaque,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,0.648,,,,0,Units
